0,0,762.5,1065,7000,-3000,-3000,0,0,0,0,0,0,0,0,471.238898038469,0,0,0
0.005,34.9558996938996,747.880432619099,1049.83,6991.17993877991,-2923.9134761802,-3034,-1764.01224401701,15217.3047639603,-6800,0,0,2.35060815971042,0,0,470.121631942085,-0,-0,-223.453219276823
0.01,69.864297201837,733.638287604919,1034.49085,6981.67950158748,-2848.42900283596,-3067.83,-1900.08743848625,15096.8946688468,-6766,0,0,4.69564323363854,0,0,469.007014785623,-0,-0,-222.923431292289
0.015,104.721850239221,719.770543747406,1018.98339575,6971.51060747675,-2773.54877150272,-3101.49085,-2033.77882214717,14976.046266649,-6732.17,0,0,7.03511843508194,0,0,467.89504028868,-0,-0,-222.3948993886
0.02,139.525275670138,706.274169649602,1003.30847877125,6960.68508618353,-2699.27481956079,-3134.98339575,-2165.10425864384,14854.7903883853,-6698.50915,0,0,9.36904694601065,0,0,466.785702185742,-0,-0,-221.867620587699
0.025,174.271349056498,693.146124484847,987.466936377394,6949.21467727189,-2625.60903295099,-3168.30847877125,-2294.08178232806,14733.1573219608,-6665.01660425,0,0,11.6974419171414,0,0,465.678994226149,-0,-0,-221.341591918589
0.03,208.95690420312,680.383358740506,971.459601695507,6937.11102932434,-2552.55314886821,-3201.46693637739,-2420.72958951001,14611.1768165568,-6631.69152122875,0,0,14.0203164680117,0,0,464.574910174062,-0,-0,-220.816810417317
0.035,243.578832698994,667.982814948342,955.287303687029,6924.38569917494,-2480.10875843283,-3234.45960169551,-2545.06602988002,14488.8780870751,-6598.53306362261,0,0,16.3376836870538,0,0,463.473443808428,-0,-0,-220.293273126958
0.04,278.134083454916,655.941428401643,938.950867168594,6911.05015118444,-2408.27730933966,-3267.28730368703,-2667.10959809973,14366.2898186344,-6565.54039830449,0,0,18.6495566316685,0,0,462.37458892294,-0,-0,-219.770977097596
0.045,312.6196622377,644.256127859223,922.451112832751,6897.11575655664,-2337.06010848408,-3299.95086716859,-2786.87892556086,14243.4401711164,-6532.71269631297,0,0,20.9559483282986,0,0,461.278339326008,-0,-0,-219.249919386311
0.05,347.032631201175,632.923836236396,905.788857268587,6882.59379269509,-2266.45832456529,-3332.45111283275,-2904.39277230999,14120.356783757,-6500.04913283141,0,0,23.2568717725022,0,0,460.184688840722,-0,-0,-218.73009705716
0.055,381.370108414172,621.941471283065,888.964912982244,6867.4954425994,-2196.47299066638,-3364.78885726859,-3019.67001913752,13997.0667797819,-6467.54888716725,0,0,25.5523399290263,0,0,459.093631304816,-0,-0,-218.211507181158
